JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	A-nouveaux	1	20250101	512000	Banque			AN2025	20250101	Report a nouveau	15000,00				20250101		
AN	A-nouveaux	1	20250101	101000	Capital social			AN2025	20250101	Report a nouveau		10000,00			20250101		
AN	A-nouveaux	1	20250101	164000	Emprunts etablissements credit			AN2025	20250101	Report a nouveau		32000,00			20250101		
AN	A-nouveaux	1	20250101	106000	Reserves			AN2025	20250101	Report a nouveau					20250101		
AN	A-nouveaux	1	20250101	110000	Report a nouveau			AN2025	20250101	Report a nouveau	27000,00				20250101		
VE	Ventes	2	20250105	411000	Clients	C965	Cabinet Martin	FV011	20250105	Facture Cabinet Martin	11520,00				20250105		
VE	Ventes	2	20250105	701000	Ventes de produits finis			FV011	20250105	Facture Cabinet Martin		9600,00			20250105		
VE	Ventes	2	20250105	445710	TVA collectee			FV011	20250105	Facture Cabinet Martin		1920,00			20250105		
VE	Ventes	3	20250117	411000	Clients	C650	Dubois SARL	FV012	20250117	Facture Dubois SARL	7680,00				20250117		
VE	Ventes	3	20250117	701000	Ventes de produits finis			FV012	20250117	Facture Dubois SARL		6400,00			20250117		
VE	Ventes	3	20250117	445710	TVA collectee			FV012	20250117	Facture Dubois SARL		1280,00			20250117		
HA	Achats	4	20250103	601000	Achats matieres premieres			FA01	20250103	Achat matieres Peintures Girard	6720,00				20250103		
HA	Achats	4	20250103	445660	TVA deductible			FA01	20250103	Achat matieres Peintures Girard	1344,00				20250103		
HA	Achats	4	20250103	401000	Fournisseurs	P509	Peintures Girard	FA01	20250103	Achat matieres Peintures Girard		8064,00			20250103		
BQ	Banque	5	20250105	613200	Locations immobilieres			LOY01	20250105	Loyer atelier	1200,00				20250105		
BQ	Banque	5	20250105	512000	Banque			LOY01	20250105	Loyer atelier		1200,00			20250105		
